Kód;Obec;Voliči;Obálky;Platné hlasy;1;2;3;4;44;5;6;ANO 2011;Blok proti islam.-Obran.domova;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Dobrá volba 2016;Dělnic.str.sociální spravedl.;Komunistická str.Čech a Moravy;Křesť.demokr.unie-Čs.str.lid.;Občanská demokratická aliance;Občanská demokratická strana;REALISTÉ;ROZUMNÍ-stop migraci,diktát.EU;Radostné Česko;Referendum o Evropské unii;SPORTOVCI;SPR-Republ.str.Čsl. M.Sládka;STAROSTOVÉ A NEZÁVISLÍ;Strana Práv Občanů;Strana svobodných občanů;Strana zelených;Svob.a př.dem.-T.Okamura (SPD);TOP 09;Česká pirátská strana;Česká str.sociálně demokrat.;Česká strana národně sociální;Řád národa - Vlastenecká unie
506761;Alojzov;0;0;0;205;0;0;0;0;0;0;22,22;0,00;0,00;0,00;0,69;11,80;4,16;0,00;20,13;0,00;0,69;0,00;0,00;0,69;0,00;3,47;0,00;0,69;2,77;10,41;3,47;12,50;6,25;0,00;0,00
589268;Bedihošť;0;0;0;834;0;0;0;0;0;0;26,71;0,19;0,00;0,00;0,00;23,47;4,96;0,00;9,73;0,00;0,38;0,19;0,00;0,00;0,00;2,48;0,19;2,67;0,38;15,64;1,14;6,48;5,34;0,00;0,00
589276;Bílovice-Lutotín;0;0;0;0;431;0;0;0;0;0;30,18;0,00;0,00;0,00;0,36;14,54;8,00;0,00;4,72;0,00;0,00;0,00;0,00;0,00;0,00;2,90;0,00;1,45;0,36;13,81;1,09;10,90;11,63;0,00;0,00
589284;Biskupice;0;0;0;238;0;0;0;0;0;0;25,95;0,00;0,00;0,00;0,00;18,32;7,63;0,00;10,68;0,00;0,76;0,00;1,52;0,00;0,00;3,81;0,00;0,76;1,52;14,50;0,00;7,63;6,87;0,00;0,00
589292;Bohuslavice;0;0;0;376;0;0;0;0;0;0;22,45;0,00;0,00;0,42;0,00;9,32;16,52;0,42;8,47;0,00;1,69;0,00;0,00;1,27;0,42;1,27;0,00;2,54;1,27;15,25;1,69;7,20;9,74;0,00;0,00
589306;Bousín;0;0;0;107;0;0;0;0;0;0;14,92;0,00;0,00;0,00;0,00;20,89;13,43;0,00;7,46;0,00;2,98;0,00;0,00;0,00;0,00;4,47;0,00;0,00;0,00;16,41;2,98;10,44;5,97;0,00;0,00
589314;Brodek u Konice;0;0;0;0;695;0;0;0;0;0;31,30;0,00;0,00;0,00;0,00;10,21;13,04;0,00;5,43;0,00;0,86;0,00;0,21;0,21;0,00;4,34;0,43;1,08;0,65;15,65;1,08;8,26;6,95;0,21;0,00
589322;Brodek u Prostějova;0;0;0;0;1224;0;0;0;0;0;30,83;0,15;0,00;0,00;0,61;9,31;8,09;0,30;8,24;0,15;0,61;0,00;0,00;0,45;0,15;3,20;0,30;1,67;0,76;16,33;3,35;8,70;6,41;0,30;0,00
589331;Březsko;0;0;0;178;0;0;0;0;0;0;32,43;0,00;0,00;0,00;0,00;2,70;15,31;0,00;8,10;0,00;2,70;0,00;0,90;0,00;0,00;5,40;0,00;0,90;0,00;11,71;1,80;9,00;8,10;0,00;0,90
589349;Budětsko;0;0;0;331;0;0;0;0;0;0;28,15;0,00;0,00;0,00;0,00;10,67;15,53;0,00;2,91;0,48;1,45;0,00;0,48;0,97;0,48;2,91;0,97;0,97;0,48;16,99;1,45;3,39;11,65;0,00;0,00
589357;Buková;0;0;0;264;0;0;0;0;0;0;20,71;0,00;0,00;0,59;0,00;19,52;14,79;0,00;9,46;0,59;0,00;0,00;0,00;0,00;0,00;1,77;0,00;1,77;1,18;8,87;1,18;8,28;11,24;0,00;0,00
589365;Čehovice;0;0;0;426;0;0;0;0;0;0;28,57;0,00;0,00;0,00;1,07;15,00;4,64;0,00;5,71;0,00;2,50;0,00;0,00;0,35;0,35;2,85;0,00;1,78;1,78;15,71;3,57;6,42;9,64;0,00;0,00
589381;Čechy pod Kosířem;0;0;0;814;0;0;0;0;0;0;27,34;0,00;0,00;0,00;0,58;15,42;9,17;0,00;4,88;0,00;1,36;0,19;0,39;0,00;0,00;3,90;0,00;1,17;1,36;13,67;1,36;6,05;12,89;0,00;0,19
589390;Čelčice;0;0;0;437;0;0;0;0;0;0;27,20;0,00;0,00;0,00;0,36;16,91;5,51;0,36;7,72;0,00;0,00;0,36;0,00;0,36;0,36;3,67;0,36;1,10;1,83;18,01;0,73;6,61;8,45;0,00;0,00
589403;Čelechovice na Hané;0;0;0;0;0;1063;0;0;0;0;30,84;0,15;0,15;0,00;0,93;11,83;4,98;0,00;7,63;0,15;0,46;0,00;0,00;0,00;0,31;9,81;0,31;0,00;0,31;16,04;2,33;6,69;7,00;0,00;0,00
589420;Dětkovice;0;0;0;427;0;0;0;0;0;0;29,18;0,35;0,00;0,00;0,35;16,72;12,81;0,00;6,76;0,71;1,42;0,00;0,00;0,00;0,00;2,13;0,00;1,42;0,71;8,89;0,71;13,52;4,27;0,00;0,00
